485.920898,	 ff980010, 	 ffffff98
486.704102,	 ff980082, 	 ffffff98
488.187500,	 ff980182, 	 ffffff98
488.404297,	 ff980082, 	 ffffff98
490.120117,	 ff980010, 	 ffffff98
490.553711,	 ff980042, 	 ffffff98
491.967773,	 ff980142, 	 ffffff98
492.175781,	 ff980042, 	 ffffff98
494.386719,	 ff980010, 	 ffffff98
495.170898,	 ff980082, 	 ffffff98
496.697266,	 ff980182, 	 ffffff98
498.603516,	 ff980010, 	 ffffff98
499.037109,	 ff980042, 	 ffffff98
500.534180,	 ff980142, 	 ffffff98
500.753906,	 ff980042, 	 ffffff98
501.136719,	 ff980020, 	 ffffff98
504.443359,	 ff980420, 	 ffffff98
504.610352,	 ff980020, 	 ffffff98
506.370117,	 ff980010, 	 ffffff98
507.153320,	 ff980081, 	 ffffff98
508.060547,	 ff980281, 	 ffffff98
508.223633,	 ff980081, 	 ffffff98
510.570312,	 ff980010, 	 ffffff98
511.353516,	 ff980082, 	 ffffff98
512.440430,	 ff980182, 	 ffffff98
512.668945,	 ff980082, 	 ffffff98
514.769531,	 ff980010, 	 ffffff98
515.553711,	 ff980081, 	 ffffff98
516.147461,	 ff980281, 	 ffffff98
516.421875,	 ff980081, 	 ffffff98
518.986328,	 ff980010, 	 ffffff98
519.769531,	 ff980081, 	 ffffff98
520.697266,	 ff980281, 	 ffffff98
520.921875,	 ff980081, 	 ffffff98
523.269531,	 ff980010, 	 ffffff98
523.886719,	 ff980002, 	 ffffff98
524.571289,	 ff980102, 	 ffffff98
524.767578,	 ff980002, 	 ffffff98
527.502930,	 ff980010, 	 ffffff98
528.119141,	 ff980002, 	 ffffff98
529.175781,	 ff980102, 	 ffffff98
529.372070,	 ff980002, 	 ffffff98
531.686523,	 ff980010, 	 ffffff98
532.469727,	 ff980082, 	 ffffff98
533.883789,	 ff980182, 	 ffffff98
534.121094,	 ff980082, 	 ffffff98
536.002930,	 ff980010, 	 ffffff98
536.619141,	 ff980004, 	 ffffff98
538.187500,	 ff980204, 	 ffffff98
538.361328,	 ff980004, 	 ffffff98
540.219727,	 ff980010, 	 ffffff98
540.652344,	 ff980041, 	 ffffff98
541.539062,	 ff980241, 	 ffffff98
541.767578,	 ff980041, 	 ffffff98
544.519531,	 ff980010, 	 ffffff98
544.952148,	 ff980042, 	 ffffff98
545.854492,	 ff980142, 	 ffffff98
546.054688,	 ff980042, 	 ffffff98
548.869141,	 ff980010, 	 ffffff98
549.485352,	 ff980001, 	 ffffff98
551.710938,	 ff980200, 	 ffffff98
553.052734,	 ff980010, 	 ffffff98
553.668945,	 ff980001, 	 ffffff98
555.533203,	 ff980201, 	 ffffff98
555.569336,	 ff980200, 	 ffffff98
557.251953,	 ff980010, 	 ffffff98
557.869141,	 ff980001, 	 ffffff98
559.570312,	 ff980201, 	 ffffff98
559.752930,	 ff980001, 	 ffffff98
561.501953,	 ff980010, 	 ffffff98
562.285156,	 ff980082, 	 ffffff98
563.617188,	 ff980182, 	 ffffff98
563.845703,	 ff980082, 	 ffffff98
565.718750,	 ff980010, 	 ffffff98
566.334961,	 ff980002, 	 ffffff98
567.988281,	 ff980102, 	 ffffff98
